PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
34516,"Michael McCarron",2500,C,NSH,UTA,8405160,741465,3,,,0.1171,0.1507,1.1582,0.7868,0,0,0,0,0,0,0.2678,0,4.85,1.94,5.08,7.12,72,0,11.35,0,,34516,2.231,4.37,14.1,173,1959,30493,1
5278047,"Tyson Kozak",2500,C,BUF,NYI,8405110,1321918,4,,,0.1114,0.1468,0.8335,0.7507,0,0,0,0,0,0,0.2582,0,4.22,1.69,4.98,7.03,73,0,10.59,0,,5278047,1.713,3.7,11.9,161,2004,164977,0
17275,"Erik Haula",3200,C,NSH,UTA,8405160,732005,2,2,,0.1955,0.293,1.5493,0.5472,0,0,0,0,0.0327,0.0846,0.4885,0.1173,6.49,2.03,6.09,8.69,74,0.18,14.29,0,,17275,1.367,5.18,17,173,1959,30583,1
1175008,"Michael Carcone",3100,W,UTA,NSH,8405160,922602,3,2,,0.2705,0.2495,1.9963,0.3116,0,0,0,0,0.0396,0.0455,0.52,0.0851,7.3,2.35,7.04,9.88,75,0.01,16.31,0,,1175008,1.249,5.6,13.7,183,2005,82804,0
31729,"Andrew Copp",3900,C,DET,WPG,8405170,744810,2,2,,0.185,0.3611,1.5341,0.6681,0,0,0,0,0.0233,0.0636,0.5461,0.0869,6.93,1.78,6.59,9.57,76,0.1,15.37,4,,31729,0.566,5.08,17.8,172,2075,30594,0,
16760,"Hampus Lindholm",2800,D,BOS,MTL,8405230,659813,3,2,,0.0777,0.3537,1.561,1.3376,0,0,0,0,0.0199,0.0923,0.4314,0.1122,7.19,2.57,5.62,8.08,77,1.37,14.38,2.3,,16760,0.722,5.2,21.5,160,2153,31037,1,
17211,"Marcus Foligno",2900,W,MIN,FLA,8405220,522049,3,,,0.1453,0.1552,0.8617,0.6375,0,0,0,0,0,0,0.3005,0,4.4,1.52,5.01,7.06,78,0,10.81,0.3,,17211,2.75,4.37,12.7,178,1938,30272,1,
37698,"Alex DeBrincat",6900,W,DET,WPG,8405170,920337,2,1,,0.4024,0.478,3.0733,0.4209,0,0,0,0,0.106,0.1597,0.8804,0.2657,11.98,1.74,9.13,12.99,79,2.52,23.67,4,,37698,0.647,8.28,17.8,172,2075,37837,0,
2075138,"Nico Sturm",2500,C,MIN,FLA,8405220,1163937,4,,,0.0958,0.1165,0.7764,0.4483,0,0,0,0,0,0,0.2123,0,3.33,1.33,4.94,6.99,80,0,9.65,0,,2075138,1.088,2.81,10.8,178,1938,87741,1
35829,"Logan Stanley",2600,D,WPG,DET,8405170,920227,3,2,,0.0559,0.287,1.1859,1.3079,0,0,0,0,0.0142,0.0733,0.3429,0.0875,5.99,2.3,5.31,7.59,81,0.49,12.79,1,,35829,1.645,4.84,17.5,169,53599,82920,1,
5274308,"Max Crozier",2900,D,TBL,CBJ,8405200,1172319,3,,,0.0463,0.1949,1.2911,1.3056,0,0,0,0,0,0,0.2412,0,5.6,1.93,4.93,6.91,82,0.49,11.91,0,,5274308,1.349,4.33,16.5,167,2218,262433,0
18484,"Adam Lowry",2600,C,WPG,DET,8405170,607959,3,,,0.1591,0.219,1.2823,0.6646,0,0,0,0,0,0,0.3781,0,5.55,2.13,5.41,7.7,83,0,12.47,2.3,,18484,1.967,4.76,15.1,169,53599,30843,1,
17079,"Brian Dumoulin",2500,D,LAK,STL,8405190,654336,3,,,0.0345,0.1942,0.8348,1.1349,0,0,0,0,0,0,0.2287,0,4.48,1.79,4.74,6.74,84,0,10.55,0.3,,17079,0.89,3.4,17.7,182,2054,30426,0,
16699,"Zemgus Girgensons",2500,W,TBL,CBJ,8405200,659858,3,,,0.1302,0.1209,1.2844,0.6796,0,0,0,0,0,0,0.2511,0,4.83,1.93,5.1,7.13,85,0,11.36,1.7,,16699,2.498,4.48,14.9,167,2218,30275,0,
34585,"Mike Matheson",3900,D,MTL,BOS,8405230,659869,1,,,0.0962,0.2818,1.5082,2.0431,0,0,0,0,0,0,0.378,0,8.28,2.12,5.96,8.4,86,2.11,15.91,3.7,,34585,0.901,5.71,24.1,162,2017,30000,0,
31745,"Vincent Hinostroza",2500,W,MIN,FLA,8405220,681550,4,,,0.0866,0.158,0.85,0.3286,0,0,0,0,0,0,0.2446,0,3.38,1.35,4.96,7.01,87,0,9.73,0,,31745,0.739,2.7,10.1,178,1938,30786,1
35776,"Danton Heinen",2500,W,CBJ,TBL,8405200,831469,4,,,0.0914,0.149,0.777,0.371,0,0,0,0,0,0,0.2404,0,3.34,1.34,4.93,6.98,88,0,9.65,0,,35776,0.847,2.72,9.5,171,2023,31458,1
34514,"Phillip Danault",3100,C,MTL,BOS,8405230,600128,3,,,0.1356,0.2039,1.166,0.6027,0,0,0,0,0,0,0.3395,0,4.98,1.61,5.35,7.65,89,0,11.83,0.7,,34514,0.805,3.8,13.8,162,2017,31116,0,
9190220,"Isaac Howard",2600,W,EDM,WSH,8405210,1394927,3,2,,0.1348,0.1798,1.3275,0.2773,0,0,0,0,0.0129,0.02,0.3146,0.0329,4.57,1.76,5.2,7.35,90,0,11.23,2.3,,9190220,0.737,3.52,11.7,177,1953,204733,1,
555386,"Trent Frederic",2500,C,EDM,WSH,8405210,920239,4,,,0.1027,0.1291,0.9104,0.3211,0,0,0,0,0,0,0.2318,0,3.46,1.38,4.96,7.01,91,0,9.81,0.7,,555386,1.842,3.29,9.3,177,1953,82490,1,
556106,"Jalen Chatfield",2600,D,CAR,OTT,8405240,893575,1,,,0.0736,0.2058,1.2763,1.1196,0,0,0,0,0,0,0.2794,0,5.56,2.14,5.05,7.17,92,0.33,12.02,1.7,,556106,0.937,4.13,19.4,165,2181,37855,0,
14298,"Sergei Bobrovsky",7500,G,FLA,MIN,8405220,545448,,,C,0,0,0,0,0.4762,23.3151,3.1827,0.0472,0,0,0,0,9.48,1.26,8.12,10.37,93,1.07,19.87,4.7,,14298,0,7.3,,166,2047,30440,0,
17077,"Cody Ceci",2500,D,LAK,STL,8405190,659859,3,,,0.0362,0.1883,0.8303,1.1947,0,0,0,0,0,0,0.2245,0,4.58,1.83,4.74,6.74,94,0,10.65,0.3,,17077,0.878,3.43,17.3,182,2054,30249,0,
17367,"Vladislav Namestnikov",2500,W,WPG,DET,8405170,600129,3,2,,0.1472,0.2658,1.199,0.5168,0,0,0,0,0.021,0.0534,0.413,0.0744,5.31,2.12,5.58,8.01,95,0,12.45,1.7,,17367,1.194,4.3,14.1,169,53599,30823,1,
17150,"Taylor Hall",3800,W,CAR,OTT,8405240,550751,2,2,,0.1899,0.3131,1.6564,0.4618,0,0,0,0,0.0335,0.0567,0.503,0.0902,6.58,1.73,6.37,9.12,96,0,14.73,2.7,,17150,0.647,4.88,14.1,165,2181,30960,0,
16667,"Cam Fowler",2900,D,STL,LAK,8405190,550762,3,,,0.0581,0.2335,0.9732,1.2131,0,0,0,0,0,0,0.2916,0,5.23,1.8,5.02,7.16,97,0.03,11.66,0,,16667,0.368,3.65,18.9,174,1944,30980,1
5278036,"Matt Savoie",2700,W,EDM,WSH,8405210,1394907,3,2,,0.1634,0.2075,1.324,0.4262,0,0,0,0,0.0138,0.023,0.3709,0.0368,5.2,1.93,5.85,8.33,98,0,12.69,3,,5278036,0.487,3.82,13.5,177,1953,204712,1,
58046,"Connor Ingram",8500,G,EDM,WSH,8405210,893577,,,C,0,0,0,0,0.6296,23.5422,2.9956,0.0586,0,0,0,0,10.87,1.28,8.63,10.94,99,1.93,21.92,7.3,,58046,0,8.92,,177,1953,40250,1,
