,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Tyler Myers,VAN,D,0.04,0.20,0.23,-0.15,0.95,0.98,0.00,0.00,0.01,0.01,0.01,1.13,1.35
Jake Neighbours,STL,LW,0.26,0.25,0.51,-0.09,0.79,1.48,0.05,0.06,0.08,0.00,0.00,2.26,0.56
Nikita Nesterenko,ANA,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jani Nyman,SEA,RW,0.17,0.23,0.40,-0.17,0.31,1.56,0.00,0.16,0.08,0.00,0.00,0.80,0.46
Drew O'Connor,VAN,C,0.12,0.14,0.26,-0.07,0.37,1.07,0.02,0.01,0.01,0.01,0.01,0.80,0.42
Liam Ohgren,VAN,LW,0.08,0.10,0.18,-0.09,0.06,1.02,0.03,0.00,0.03,0.00,0.00,1.10,0.34
Jamie Oleksiak,SEA,D,0.07,0.21,0.27,0.04,0.41,0.96,0.01,0.00,0.00,0.00,0.00,1.11,1.96
Mathieu Olivier,CBJ,RW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colton Parayko,STL,D,0.07,0.20,0.27,-0.03,0.26,1.38,0.02,0.01,0.00,0.01,0.01,1.21,2.08
Nick Paul,TBL,LW,0.21,0.23,0.44,0.05,0.27,1.49,0.03,0.02,0.02,0.00,0.00,0.88,0.36
Corey Perry,LAK,RW,0.20,0.27,0.46,0.10,0.66,1.63,0.04,0.04,0.10,0.00,0.00,0.44,0.32
Elias Pettersson,VAN,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcus Pettersson,VAN,D,0.03,0.25,0.28,0.10,0.75,0.79,0.01,0.00,0.00,0.00,0.01,0.96,1.39
Elias Pettersson,VAN,D,0.05,0.13,0.18,-0.11,0.54,0.60,0.00,0.00,0.00,0.00,0.00,1.48,0.59
Ryan Poehling,ANA,C,0.16,0.29,0.45,-0.06,0.15,1.02,0.01,0.03,0.01,0.00,0.04,0.43,1.08
Brayden Point,TBL,C,0.48,0.56,1.05,0.13,0.12,2.60,0.09,0.14,0.17,0.00,0.00,0.25,0.46
Ivan Provorov,CBJ,D,0.05,0.23,0.29,0.00,0.30,1.32,0.00,0.01,0.05,0.02,0.04,0.50,1.85
Darren Raddysh,TBL,D,0.16,0.64,0.80,0.23,0.36,2.18,0.00,0.07,0.15,0.00,0.00,0.83,1.16
Aatu Raty,VAN,C,0.17,0.15,0.32,0.00,0.54,0.96,0.01,0.00,0.03,0.00,0.00,2.43,0.21
Rasmus Ristolainen,PHI,D,0.04,0.20,0.24,0.01,0.29,1.33,0.03,0.00,0.04,0.00,0.00,1.33,1.25
Marco Rossi,VAN,C,0.23,0.35,0.58,-0.05,0.37,1.58,0.02,0.05,0.12,0.00,0.00,0.70,0.45
Travis Sanheim,PHI,D,0.09,0.36,0.46,-0.05,0.44,1.48,0.01,0.01,0.06,0.00,0.05,0.77,1.63
Max Sasson,VAN,C,0.12,0.07,0.19,0.00,0.29,0.87,0.00,0.00,0.03,0.00,0.00,0.50,0.43
