PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
,1,,D,CZE,CAN,,902830,2,,,0.066,0.2008,1.3065,0,0,0,0,0,0,0,0.2668,0,3.57,,,0,,,,,,,,,,,,33,39,"Michal Kempny"
17120,"Ondrej Palat",,W,CZE,CAN,,615345,2,1,,0.3711,0.6016,2.5669,0,0,0,0,0,0.1143,0.2406,0.9727,0.3549,10.63,1.57,21.83,41.67,,17120,1.792,8.27,28.7,,,30825,1,8.75,12.63,34,
16742,"Radko Gudas",,D,CZE,CAN,,554520,2,,,0.0829,0.4025,2.3866,0,0,0,0,0,0,0,0.4854,0,6.62,0,14.84,33.33,,16742,3.419,6.2,34.1,,,30042,1,6.42,9.18,35,
35854,"Lukas Sedlak",,C,CZE,CAN,,612924,3,,,0.1761,0.1979,1.4051,0,0,0,0,0,0,0,0.374,0,4.66,0,12.01,4,,35854,0,3.25,,,,,1,5.74,8.07,36,
10239699,"David Tomasek",,W,CZE,CAN,,1166671,3,2,,0.3123,0.3324,2.6159,0,0,0,0,0,0.06,0.1206,0.6447,0.1806,8.72,0.99,18.27,23.33,,10239699,1.108,6.46,,,,658745,1,7.46,10.54,37,
5273742,"David Spacek",,D,CZE,CAN,,1364089,3,2,,0.0425,0.4039,1.2157,0,0,0,0,0,0.0144,0.1407,0.4464,0.1551,4.26,0,11.52,4.67,,5273742,1.063,3.7,26.4,,,231601,1,5.67,8.37,38,
37697,"Jan Rutta",,D,CZE,CAN,,1054103,3,,,0.0444,0.174,0.9151,0,0,0,0,0,0,0,0.2184,0,2.63,0,8.54,0.67,,37697,0.534,2.14,,,,32354,1,4.62,6.6,39,
655235,"Roman Cervenka",,C,CZE,CAN,,655235,3,2,,0.2307,0.2593,1.8413,0,0,0,0,0,0,0,0.49,0,6.19,0,14.64,8,,655235,0,4.26,,,,,1,6.6,9.37,40,
31746,"Radek Faksa",,C,CZE,CAN,,659857,4,,,0.1604,0.2753,1.4501,0,0,0,0,0,0,0,0.4357,0,5,0,12.76,10,,31746,1.407,4.22,19.3,,,30523,1,6.06,8.66,41,
612934,"Matej Stransky",,W,CZE,CAN,,612934,4,,,0.1493,0.1678,1.1914,0,0,0,0,0,0,0,0.3171,0,3.93,0,10.56,0,,612934,0,2.76,,,,,1,5.18,7.33,42,39
472511,"Tomas Kundratek",,D,CZE,CAN,,472511,4,,,0.0289,0.0878,0.5713,0,0,0,0,0,0,0,0.1167,0,1.54,0,7.16,0,,472511,0,1.1,,,,,1,4.39,6.24,43,39
1144866,"Dominik Kubalik",,W,CZE,CAN,,745341,4,2,,0.2925,0.2495,2.1418,0,0,0,0,0,0.0622,0.0728,0.542,0.135,7.21,0,16.21,17.67,,1144866,0.883,5.4,,,,88360,1,7.03,9.87,44,
1285060,"Jakub Flek",,W,CZE,CAN,,1285060,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1285060,0,0,,,,,1,1.15,1.15,45,39
1364090,"Jiri Tichacek",,D,CZE,CAN,,1364090,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1364090,0,0,,,,,1,1.15,1.15,46,39
37656,"Dan Vladar",,G,CZE,CAN,,878196,,,B,0,0,0,0,0.9429,19.944,1.4823,0.1865,0,0,0,0,15.09,8.6,23.1,20.33,,37656,0,13.18,,,,32200,1,6.26,9.15,47,
415370,"Lukas Dostal",,G,CZE,CAN,,1121544,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,415370,0,0,,,,75539,1,0.58,0,48,39
878169,"Filip Chlapik",,W,CZE,CAN,,878169,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,878169,0,0,,,,,1,1.15,1.15,49,39
4200011,"Karel Vejmelka",,G,CZE,CAN,,878314,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,4200011,0,0,,,,166640,1,0.58,0,50,39
920604,"Joachim Blichfeld",,W,DEN,GER,,920604,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,920604,0,0,,,,,1,1.15,1.15,51,39
14278,"Lars Eller",,C,DEN,GER,,392954,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,14278,0,0,,,,29793,1,1.15,1.15,52,39
18831,"Nikolaj Ehlers",,W,DEN,GER,,831074,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,18831,0,0,,,,30595,1,1.15,1.15,53,39
1166529,"Phillip Bruggisser",,D,DEN,GER,,1166529,3,,,0.0285,0.0892,0.6581,0,0,0,0,0,0,0,0.1177,0,1.68,0,7.3,0,,1166529,0,1.19,,,,,1,4.39,6.24,54,39
