PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
18831,"Nikolaj Ehlers",,W,DEN,TBD,,831074,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,34.67,,18831,0,0,,,,30595,1,1.15,1.15,53,
1166529,"Phillip Bruggisser",,D,DEN,TBD,,1166529,3,,,0.0285,0.0892,0.6581,0,0,0,0,0,0,0,0.1177,0,1.68,0,7.3,0,,1166529,0,1.19,,,,,1,4.39,6.24,54
898444,"Jesper Jensen Aabo",,D,DEN,TBD,,898444,1,,,0.0353,0.1103,0.8137,0,0,0,0,0,0,0,0.1456,0,2.08,0,7.74,0,,898444,0,1.47,,,,,1,4.42,6.27,55
4905072,"Oscar Fisker Molgaard",,C,DEN,TBD,,1447488,3,,,0.1214,0.1464,1.2272,0,0,0,0,0,0,0,0.2678,0,3.64,0,10.08,8,,4905072,1.098,3.09,32.7,,,260562,1,5.03,7.06,56,
1166530,"Matias Lassen",,D,DEN,TBD,,1166530,4,,,0.0056,0.0175,0.1294,0,0,0,0,0,0,0,0.0231,0,0.33,0,5.72,0,,1166530,0,0.23,,,,,1,4.21,5.95,57
737286,"Markus Lauridsen",,D,DEN,TBD,,737286,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,737286,0,0,,,,,1,1.15,1.15,58
1166535,"Nick Olesen",,W,DEN,TBD,,1166535,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,7,,1166535,0,0,,,,,1,1.15,1.15,59,
34617,"Oliver Bjorkstrand",,W,DEN,TBD,,743268,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,17.67,,34617,0,0,,,,30201,1,1.15,1.15,60,
591992,"Oliver Lauridsen",,D,DEN,TBD,,591992,3,,,0.0285,0.0892,0.6581,0,0,0,0,0,0,0,0.1177,0,1.68,0,7.3,0,,591992,0,1.19,,,,,1,4.39,6.24,61
1447489,"Anders Koch",,D,DEN,TBD,,1447489,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1447489,0,0,,,,,1,1.15,1.15,62
676092,"Patrick Russell",,W,DEN,TBD,,915358,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,676092,0,0,,,,,1,1.15,1.15,63
600131,"Nicklas Jensen",,W,DEN,TBD,,600131,2,,,0.0966,0.1117,0.8994,0,0,0,0,0,0,0,0.2083,0,2.74,0,9.06,1.33,,600131,0,1.93,,,,,1,4.94,6.99,64,
972431,"Alexander True",,C,DEN,TBD,,1078266,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,39,,972431,0,0,,,,82529,1,1.15,1.15,65,
1166537,"Morten Poulsen",,W,DEN,TBD,,1166537,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1166537,0,0,,,,,1,1.15,1.15,66
1385603,"Christian Wejse",,W,DEN,TBD,,1385603,4,,,0.064,0.074,0.5956,0,0,0,0,0,0,0,0.138,0,1.81,0,7.22,0,,1385603,0,1.28,,,,,1,4.23,5.97,67
1077686,"Mathias Bau",,W,DEN,TBD,,1077686,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,1077686,0,0,,,,,1,1.15,1.15,68
