PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
16683,"Mikael Backlund",3300,C,CGY,EDM,8402880,392966,3,2,,0.198,0.2733,2.1909,0.5284,0,0,0,0,0.0241,0.0433,0.4713,0.0674,7.49,2.27,6.27,8.83,165,0.99,15.52,0,,16683,0.71,5.39,18.5,175,2134,29880,0
4900397,"Bradly Nadeau",2700,W,CAR,FLA,8402830,1453031,4,2,,0.1745,0.2304,1.3646,0.4631,0,0,0,0,0.0392,0.0633,0.4049,0.1025,5.54,2.05,5.85,8.33,166,0,13.03,0,,4900397,1.061,4.38,12.5,165,2181,260586,1
2299314,"Adam Wilsby",2500,D,NSH,MIN,8402850,1248662,2,,,0.0382,0.1567,1.0409,0.9999,0,0,0,0,0,0,0.1949,0,4.39,1.76,4.65,6.5,167,0,10.34,0,,2299314,0.888,3.34,17.2,173,1959,158649,0
133403,"Zach Whitecloud",2700,D,VGK,SJS,8403010,1107555,3,,,0.0546,0.1948,1.0098,1.5678,0,0,0,0,0,0,0.2494,0,5.73,2.12,4.97,6.96,168,0.58,12.09,0,,133403,1.767,4.57,18.3,185,180961,39782,1
2558517,"Trevor Zegras",6200,C,PHI,CHI,8402940,1172191,1,1,,0.3059,0.5023,2.2902,0.3815,0,0,0,0,0.0653,0.1109,0.8082,0.1762,9.62,1.55,7.85,11.33,169,1.49,19.67,0,,2558517,0.811,7.01,18.4,158,2229,161686,0
6875967,"Stephen Halliday",2500,C,OTT,BUF,8402870,1395062,4,2,,0.1131,0.1467,1.0188,0.2725,0,0,0,0,0.039,0.0539,0.2598,0.0929,3.72,1.49,4.99,7.03,170,0,10.11,0,,6875967,0.752,2.98,8.3,163,2050,231522,1
37778,"Nicolas Hague",2500,D,NSH,MIN,8402850,1057142,3,,,0.0405,0.1551,1.0327,1.1942,0,0,0,0,0,0,0.1956,0,4.74,1.9,4.65,6.5,171,0,10.69,0,,37778,1.298,3.74,17.7,173,1959,76714,0
917153,"Alexandre Texier",2900,W,MTL,BOS,8402840,1057153,3,2,,0.161,0.2023,1.3463,0.3686,0,0,0,0,0.0143,0.0218,0.3633,0.0361,5.09,1.76,5.84,8.32,172,0,12.57,0,,917153,0.891,3.95,14.1,162,2017,87772,0
1283122,"Morgan Geekie",6600,W,BOS,MTL,8402840,1057175,2,1,,0.3964,0.3804,2.141,0.3773,0,0,0,0,0.1301,0.1402,0.7768,0.2703,9.5,1.44,8.71,12.44,173,0.48,20.65,0,,1283122,1.548,7.33,17.1,160,2153,82840,1
5250013,"Colton Dach",2500,C,CHI,PHI,8402940,1321681,4,1,,0.1424,0.1977,1.345,0.3639,0,0,0,0,0.0328,0.0517,0.3401,0.0845,4.9,1.96,5.2,7.35,174,0,11.56,0,,5250013,2.644,4.72,12.4,170,2205,165087,1
7005309,"Oliver Kapanen",4400,C,MTL,BOS,8402840,1321692,2,2,,0.2554,0.2532,1.9141,0.7348,0,0,0,0,0.0376,0.0456,0.5086,0.0832,7.74,1.76,6.65,9.43,175,0.85,16.25,0,,7005309,0.657,5.56,16.4,162,2017,165003,0
1280049,"Victor Soderstrom",2500,D,BOS,MTL,8402840,1172192,3,,,0.0298,0.1948,0.8731,1.1262,0,0,0,0,0,0,0.2246,0,4.48,1.79,4.78,6.77,176,0,10.6,0,,1280049,0.85,3.38,13.5,160,2153,92039,1
6161193,"Nikita Grebenkin",2500,W,PHI,CHI,8402940,1361392,4,,,0.08,0.1404,0.7283,0.2891,0,0,0,0,0,0,0.2204,0,2.99,1.2,4.43,6.29,177,0,8.66,0,,6161193,1.401,2.76,10.5,158,2229,231516,0
5284135,"Marc Gatcomb",2500,W,NYI,NJD,8402860,1418856,4,,,0.1283,0.0993,0.9876,0.4926,0,0,0,0,0,0,0.2276,0,3.92,1.57,4.97,7.02,178,0,10.28,0,,5284135,2.824,4.06,10.3,156,2135,246325,1
1286329,"Parker Kelly",2500,W,COL,UTA,8402920,1078252,4,,,0.1093,0.1194,0.9713,0.6798,0,0,0,0,0,0,0.2287,0,4.15,1.66,5.01,7.06,179,0,10.56,0,,1286329,1.806,3.69,11.5,176,2155,82899,1
37681,"Martin Necas",6500,W,COL,UTA,8402920,1057110,1,1,,0.3411,0.6232,2.3073,0.3559,0,0,0,0,0.1203,0.2192,0.9643,0.3395,10.6,1.63,8.76,12.64,180,1.52,21.81,0,,37681,0.972,7.86,20,176,2155,37907,1
671953,"Drake Batherson",6100,W,OTT,BUF,8402870,1057231,2,1,,0.3724,0.515,2.3714,0.3856,0,0,0,0,0.1212,0.2168,0.8874,0.338,10.45,1.71,8.47,12.14,181,1.68,21.29,0,,671953,1.584,8.01,18.6,163,2050,82907,1
