PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
13315,"Klay Thompson",,,DAL,GSW,156898,457611,Q,20,10.71,2.1,0.93,2.35,0.83,0.47,0.18,11.64,12.81,13.74,0.65,3.03,3.47,1.42,6.18,0.97,0.83,9.65,3.77,15.75,15.75,16.79,8.89,26.53,0,0,10.19,11.75,11.75,11.75,11.75,11.75,11.75,11.75,0.00%,140,150,THURS,12329,21,13315,
13895,"Anthony Davis",,,DAL,GSW,156898,603096,,33,25.12,12.8,2.91,0.9,2.34,1.5,1.32,28.03,37.92,40.83,2.82,15.71,15.08,8.03,3.07,8.17,6.36,18.15,8.93,50.97,50.97,51.49,42.3,61.18,10.74,10.74,26.22,42.26,47.6,51.49,55.38,61.69,64.12,74.08,21.23%,140,150,THURS,12369,23,13895,
18947,"D'Angelo Russell",,,DAL,GSW,156898,844038,,6,2.28,0.67,0.97,0.38,0.4,0.22,0.01,3.25,2.95,3.92,0.23,1.64,0.94,0.4,1.09,0.45,0.35,2.03,0.78,4.83,4.83,5.02,3,7.28,0,0,0,2.99,4.15,5.02,5.89,7.34,7.82,10.81,0.31%,140,150,THURS,12060,26,18947,
1115204,"Daniel Gafford",,,DAL,GSW,156898,1061647,,16,5.14,4.54,0.67,0,0.91,0.84,1.06,5.81,9.68,10.35,1.9,5.21,3.07,2,0,1.6,1.15,3.07,2,16.38,16.38,15.17,10.44,20.66,0.14,0.14,1.33,10.43,13.04,15.17,17.3,20.86,22.04,27.97,0.35%,140,150,THURS,71699,27,1115204,
1115314,"PJ Washington",,,DAL,GSW,156898,1067857,Q,32,13.92,7.39,1.86,1.46,2.53,1.29,1.6,15.78,21.31,23.17,2.89,9.25,7.93,3.58,4.28,3.41,2.38,12.21,5.04,31.72,31.72,31.39,21.01,43.33,2.19,2.19,17.09,21.97,21.97,21.97,21.97,21.97,21.97,21.97,0.00%,140,150,THURS,69997,28,1115314,
2484012,"Naji Marshall",,,DAL,GSW,156898,1060704,,30.5,11.56,4.61,3.5,0.97,1.44,1.08,0.09,15.06,16.17,19.67,1.17,8.11,5.98,3.25,3.08,2.67,2.15,9.06,4.22,24.41,24.41,24.7,18.16,31.76,1.11,1.11,6.49,18.07,21.96,24.7,27.67,32.02,33.85,42.08,3.63%,140,150,THURS,70165,30,2484012,
3267960,"Brandon Williams",,,DAL,GSW,156898,1134688,,20,8.98,1.97,3.74,0.62,1.7,0.89,0.16,12.72,10.95,14.69,1.05,5.71,5.24,2.25,2.46,3.26,2.63,7.7,2.87,18.4,18.4,18.63,13.25,24.58,1.17,1.17,3.36,13.13,16.09,18.63,20.96,24.77,26.25,33.03,4.75%,140,150,THURS,87233,31,3267960,
3587932,"Jaden Hardy",,,DAL,GSW,156898,1357748,,1,0.44,0.12,0.06,0.07,0.05,0.01,0,0.5,0.56,0.62,0.01,0.18,0.2,0.08,0.19,0.07,0.06,0.39,0.15,0.65,0.65,0.71,0.44,1.02,0,0,0,0.44,0.59,0.71,0.83,1.03,1.1,1.48,4.12%,140,150,THURS,194859,32,3587932,
3588176,"Max Christie",,,DAL,GSW,156898,1340703,Q,23,6.63,2.25,1.14,1.15,0.7,0.44,0.24,7.77,8.88,10.02,0.68,3.39,2.28,1.04,2.84,1.33,1.11,5.12,2.19,12.38,12.38,12.74,5.15,20.77,0,0,2.18,8.92,8.92,8.92,8.92,8.92,8.92,8.92,0.00%,140,150,THURS,179747,33,3588176,
8985575,"Cooper Flagg",,,DAL,GSW,156898,1519128,,34.5,17.55,7.78,3.54,1.1,2.41,0.99,0.55,21.09,25.33,28.87,1.54,11.32,12.25,5.55,3.18,4.02,3.16,15.43,6.65,34.41,34.41,35.29,27.66,44.01,1.66,1.66,8.51,27.37,31.9,35.29,38.68,44.11,46.37,54.29,8.00%,140,150,THURS,458047,35,8985575,
9147605,"Ryan Nembhard",,,DAL,GSW,156898,1323621,,24,7.78,2.23,5.77,0.84,1.47,0.94,0.03,13.55,10.01,15.78,0.97,8,4.6,1.97,2.42,1.68,1.33,7.02,2.81,20.55,20.55,20.91,14.98,27.53,2.42,2.42,6.32,14.9,18.46,20.91,23.58,27.58,29.36,37.37,4.60%,140,150,THURS,179441,37,9147605,
13301,"Jonas Valanciunas",,,DEN,MIN,156900,599780,,14.5,9.67,4.22,1.03,0.18,1.29,0.29,0.42,10.7,13.89,14.92,0.71,5.25,6.27,3.63,0.69,2.3,1.85,6.96,3.81,17.12,17.12,17.36,11.91,23.25,0.94,0.94,7.56,11.74,14.81,17.36,19.66,23.23,24.76,31.4,0.28%,145,146,THURS,12323,41,13301,
16879,"Tim Hardaway Jr.",,,DEN,MIN,156900,551771,,31,13.44,2.62,1.33,2.69,0.5,0.78,0.03,14.77,16.06,17.39,0.81,3.95,3.91,1.69,7.13,2.31,1.99,11.04,4.38,20.51,20.51,21.43,13.81,30.33,0.75,0.75,19.6,13.78,17.76,21.43,25.1,30.31,32.76,42.86,0.44%,145,146,THURS,12479,42,16879,
31812,"Nikola Jokic",,,DEN,MIN,156900,830650,,35,28.9,11.1,8.97,2.16,3.31,1.28,0.64,37.87,40,48.97,1.92,20.07,13.93,8.02,5.27,7.78,6.36,19.2,10.18,58.13,58.13,61.4,50.65,72.71,2.6,2.6,15.71,50.32,56.83,61.4,65.73,72.72,75.61,87.65,5.93%,145,146,THURS,12576,44,31812,
35211,"Jamal Murray",,,DEN,MIN,156900,891352,,35,24.81,3.59,5.48,2.92,2.21,1.02,0.28,30.29,28.4,33.88,1.3,9.07,12.13,5.97,7.01,4.67,4.1,19.14,8.89,39.03,39.03,40.62,31.41,50.86,1.91,1.91,10.15,31.42,36.66,40.62,44.58,51.02,53.5,64.9,2.92%,145,146,THURS,28062,45,35211,
408913,"Bruce Brown",,,DEN,MIN,156900,941834,,27,8.8,5.07,2.11,0.61,0.89,1.09,0.33,10.91,13.87,15.98,1.42,7.18,5.55,2.66,1.91,2.02,1.65,7.46,3.27,21.42,21.42,21.01,14.92,27.99,0.54,0.54,11.07,14.89,18.08,21.01,23.67,27.92,29.79,38.03,0.25%,145,146,THURS,75331,46,408913,
