PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
414832,"Pontus Holmberg",2500,W,SWE,ITA,,1121626,4,,,0.1471,0.202,0.8488,0.3144,0,0,0,0,0,0,0.3491,0,4.11,1.64,5.28,7.59,83,0,10.87,0.7,,414832,0.575,3.14,10.8,,,75424,1,
17427,"Teuvo Teravainen",3000,W,FIN,SVK,,659863,2,2,,0.1772,0.3396,1.3292,0.3457,0,0,0,0,0.032,0.0846,0.5168,0.1166,5.88,1.96,6.23,9.01,84,0,13.85,17.3,,17427,0.342,4.33,13.6,,,30644,1,
14335,"Victor Hedman",4700,D,SWE,ITA,,504246,2,,,0.1308,0.5175,1.5695,1.0559,0,0,0,0,0,0,0.6483,0,8.02,1.71,6.54,9.6,85,1.24,16.39,7.3,,14335,0.697,5.83,14,,,30510,1,
14425,"Oliver Ekman-Larsson",3300,D,SWE,ITA,,504257,4,,,0.0232,0.0809,0.3002,0.1622,0,0,0,0,0,0,0.1041,0,1.36,0.41,4.37,6.23,86,0,6.95,0,,14425,0.265,1.06,14.1,,,30716,1,40
1385945,"Daniel Mantenuto",2600,C,ITA,SWE,,1385945,3,,,0.0528,0.0698,1.0778,0.4007,0,0,0,0,0,0,0.1226,0,3.12,1.2,4.38,6.1,87,0,8.73,0,,1385945,0,2.07,,,,,1,40
414732,"Rasmus Dahlin",6900,D,SWE,ITA,,1097019,1,1,,0.3409,1.0462,3.0215,1.0404,0,0,0,0,0.1609,0.4332,1.3871,0.5941,15.54,2.25,9.99,14.67,88,5.19,28.33,39,,414732,1.563,11.37,19.3,,,75381,1,
915724,"Alex Petan",3400,C,ITA,SWE,,915724,2,1,,0.0733,0.097,1.4964,0.5563,0,0,0,0,0,0,0.1703,0,4.35,1.28,4.68,6.5,89,0,10.34,2.7,,915724,0,2.88,,,,,1,
18700,"Joel Armia",2500,W,FIN,SVK,,600113,4,2,,0.154,0.1805,1.3234,0.3498,0,0,0,0,0.0281,0.044,0.3345,0.0721,4.85,1.94,5.2,7.35,90,0,11.51,11.7,,18700,0.865,3.79,14.6,,,30591,1,
37641,"Jesper Bratt",5300,W,SWE,ITA,,920499,2,2,,0.3387,0.6478,1.9118,0.2566,0,0,0,0,0.0668,0.175,0.9865,0.2418,9.84,1.86,8.93,13.11,91,0.59,21.27,34.3,,37641,0.812,7.32,13.4,,,37891,1,
1385947,"Dylan Di Perna",2500,D,ITA,SWE,,1385947,4,,,0.0042,0.015,0.2119,0.2823,0,0,0,0,0,0,0.0192,0,0.92,0.37,4.22,5.96,92,0,6.32,0,,1385947,0,0.58,,,,,1,40
14239,"Tomas Tatar",3700,W,SVK,FIN,,522267,1,1,,0.1689,0.2724,1.7213,0.467,0,0,0,0,0.0508,0.104,0.4413,0.1548,6.3,1.7,6.16,8.74,93,0,14.18,15,,14239,1.191,4.96,,,,30813,1,
16769,"Filip Forsberg",7000,W,SWE,ITA,,659855,5,2,,0.4667,0.4722,2.4079,0.2644,0,0,0,0,0.1201,0.1733,0.9389,0.2934,10.96,1.57,9.66,13.8,94,0.95,23.32,36.3,,16769,1.306,8.16,14.3,,,29956,1,
17275,"Erik Haula",2800,C,FIN,SVK,,732005,4,,,0.1426,0.1659,1.2099,0.3786,0,0,0,0,0,0,0.3085,0,4.55,1.63,5.2,7.35,95,0,11.21,2,,17275,0.998,3.61,13.1,,,30583,1,
35838,"Gustav Forsling",3600,D,SWE,ITA,,831489,1,,,0.1462,0.4217,1.7297,0.9371,0,0,0,0,0,0,0.5679,0,7.77,2.16,6.28,9.09,96,1.26,15.81,13,,35838,1.009,5.74,18.9,,,31436,1,
,1,2,3,4,5,6,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
