PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
1055342,"Gunner Olszewski",3000,WR,NYG,LVR,147568,,0,0,0,0,0,0,0,0,1.27,0.74,8.86,0.06,1.98,0.66,2.96,0.1,0.14%,MAIN,1168410,88165,339,1055342,1.98,1.61,8.86,0.06,0,0,8.86,0.06,0,0,3.96,0.02,
3491835,"Wan'Dale Robinson",5700,WR,NYG,LVR,147568,,0,0,0,0,0,0.17,1.02,0.01,8.19,5.47,53.49,0.4,13.62,2.39,40.16,17.72,18.28%,MAIN,1164875,92947,340,3491835,13.59,10.85,54.51,0.41,1.02,0.01,54.51,0.41,0,7.03,23.67,10.42,
1844332,"Isaiah Hodgins",3000,WR,NYG,LVR,147568,,0,0,0,0,0,0,0,0,2.76,1.76,17.98,0.13,4.33,1.44,11.94,0.99,0.71%,MAIN,975387,41270,341,1844332,4.32,3.44,17.98,0.13,0,0,17.98,0.13,0,0.31,11,0.32,
4688061,"Jalin Hyatt",,WR,NYG,LVR,147568,,0,0,0,0,0,0,0,0,0.34,0.17,1.98,0.02,0.49,21,0.08,0.03,0.03%,MAIN,1232892,146301,342,4688061,0.49,0.4,1.98,0.02,0,0,1.98,0.02,0,0,0.98,0,
8262387,"Dalen Cambre",3000,WR,NYG,LVR,147568,,0,0,0,0,0,0,0,0,0.17,0.09,1.23,0.01,0.27,0.09,0.54,0.03,0.01%,MAIN,1180329,142157,343,8262387,0.28,0.23,1.23,0.01,0,0,1.23,0.01,0,0,0.54,0,
21635,"Chris Manhertz",2500,TE,NYG,LVR,147568,,0,0,0,0,0,0,0,0,1.17,0.72,7.23,0.13,2.22,0.89,12.26,0.25,0.10%,MAIN,563293,8360,344,21635,2.21,1.85,7.23,0.13,0,0,7.23,0.13,0,0,4.44,0.54,
3491834,"Daniel Bellinger",2500,TE,NYG,LVR,147568,,0,0,0,0,0,0,0,0,3.21,2.27,22.45,0.34,6.55,2.62,32.82,9.13,5.72%,MAIN,1122035,64036,345,3491834,6.53,5.39,22.45,0.34,0,0,22.45,0.34,0,1.36,17.6,6.8,
2861727,"Zach Davidson",2500,TE,NYG,LVR,147568,,0,0,0,0,0,0,0,0,0.39,0.23,2.42,0.04,0.71,0.28,0.38,0.01,0.00%,MAIN,1283807,163027,346,2861727,0.71,0.59,2.42,0.04,0,0,2.42,0.04,0,0,1.42,0,
8268704,"Ben Sauls",,K,NYG,LVR,147568,,0,0,0,0,0,0,0,0,0,0,0,0,7.77,21,,0,0.00%,MAIN,1229835,138036,347,8268704,7.77,7.77,0,0,0,0,0,0,6.88,2.97,14.06,,
18436,"Las Vegas Raiders",2700,DST,LVR,NYG,147568,,0,0,0,0,0,0,0,0,0,0,0,0,5.99,2.22,36.46,3.51,2.48%,MAIN,341,8485,348,18436,5.99,5.99,0,0,0,0,0,0,0,1.42,11.8,4.94,
8251067,"Brady Cook",4100,QB,NYJ,NEP,147570,,31.78,19.45,166.56,0.89,1.14,3.62,12.84,0.1,0,0,0,0,10.96,2.67,27.98,0.76,0.38%,MAIN,1213386,137047,349,8251067,10.93,10.93,179.4,0.99,179.4,0.99,12.84,0.1,0,5.95,17.51,0.28,
2861632,"Khalil Herbert",4000,RB,NYJ,NEP,147570,,0,0,0,0,0,0.34,1.39,0.01,0.02,0.02,0.08,0,0.23,0.06,0.02,0,0.00%,MAIN,935104,68220,350,2861632,0.22,0.21,1.47,0.01,1.39,0.01,1.47,0.01,0,0,0.46,0,
3491661,"Breece Hall",5700,RB,NYJ,NEP,147570,,0,0,0,0,0,15.67,59.78,0.36,2.99,2.28,15.25,0.09,12.86,2.26,33.48,8.37,9.32%,MAIN,1162537,144613,351,3491661,12.79,11.65,75.03,0.45,59.78,0.36,75.03,0.45,0,6.91,22.26,4.34,
6228429,"Isaiah Davis",4200,RB,NYJ,NEP,147570,,0,0,0,0,0,3.5,14.13,0.08,1.59,1.18,7.82,0.05,4.13,0.98,2.84,0.08,0.10%,MAIN,1271609,173463,352,6228429,4.11,3.52,21.95,0.13,14.13,0.08,21.95,0.13,0,1.07,10.18,0.02,
1844805,"Tyler Johnson",3000,WR,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,0.85,0.56,5.07,0.02,1.18,0.39,0.82,0.04,0.05%,MAIN,911236,44259,353,1844805,1.18,0.9,5.07,0.02,0,0,5.07,0.02,0,0,2.36,0.02,
6227963,"Isaiah Williams",3100,WR,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,4.38,3.03,21.65,0.12,5.9,1.9,19.36,1.44,1.69%,MAIN,1176432,92715,354,6227963,5.89,4.37,21.65,0.12,0,0,21.65,0.12,0,2.23,11.93,0.44,
6228064,"Adonai Mitchell",4500,WR,NYJ,NEP,147570,,0,0,0,0,0,0.2,0.31,0,7.94,4.16,48.43,0.22,10.55,2.34,36.7,8.96,8.53%,MAIN,1285908,169473,355,6228064,10.53,8.45,48.74,0.22,0.31,0,48.74,0.22,0,5.03,19.07,7.78,
8228888,"Arian Smith",3000,WR,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,1.07,0.61,4.9,0.03,1.28,0.43,1.34,0.03,0.07%,MAIN,1218653,141401,356,8228888,1.28,0.97,4.9,0.03,0,0,4.9,0.03,0,0,2.56,0,
3491692,"John Metchie",3700,WR,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,6.48,4.05,32.6,0.18,8.4,2.27,29.68,4.21,3.51%,MAIN,1160348,144836,357,3491692,8.38,6.35,32.6,0.18,0,0,32.6,0.18,0,3.76,15.45,2.88,
3491659,"Jeremy Ruckert",2500,TE,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,3.48,2.43,16.12,0.09,4.56,1.82,14.18,0.58,0.25%,MAIN,1122596,47317,358,3491659,4.54,3.32,16.12,0.09,0,0,16.12,0.09,0,1.05,10.3,0.82,
3492135,"Stone Smartt",2500,TE,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,2.5,1.7,14.91,0.07,3.59,1.44,9.22,0.38,0.20%,MAIN,1056865,65061,359,3492135,3.58,2.73,14.91,0.07,0,0,14.91,0.07,0,0.04,9.28,0.68,
3491721,"Jelani Woods",2500,TE,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,0.49,0.32,2.96,0.01,0.67,0.27,0.84,0.02,0.01%,MAIN,975503,46468,360,3491721,0.67,0.51,2.96,0.01,0,0,2.96,0.01,0,0,1.34,0,
11555,"Nick Folk",,K,NYJ,NEP,147570,,0,0,0,0,0,0,0,0,0,0,0,0,6.23,21,,0,0.00%,MAIN,213781,2952,361,11555,6.23,6.23,0,0,0,0,0,0,5.55,1.69,12.31,,
