PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
1849814,"Charlie Woerner",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.81,0.58,4.48,0.04,1.26,1.26,0.97,4.48,0.04,0,0,4.48,0.04,0,0,2.52,0.06,3.6,0.05,0.02%,MAIN,922040,58179,11,1849814,
2862126,"Kyle Pitts",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,8.44,5.76,52.38,0.43,13.68,13.62,10.74,52.38,0.43,0,0,52.38,0.43,0,7.05,23.75,10.56,43.12,11.33,7.33%,MAIN,1123026,54917,12,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.05,0.03,0.33,0,0.06,0.07,0.05,0.33,0,0,0,0.33,0,0,0,0.12,,,0,0.00%,MAIN,1128538,63778,13,3491690,
36842,"Zane Gonzalez",,K,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0,0,0,0,8.83,8.83,8.83,0,0,0,0,0,0,7.82,3.84,15.03,,,0,0.00%,MAIN,732774,33774,14,36842,
18415,"Arizona Cardinals",,DST,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4.9,4.9,0,0,0,0,0,0,0,0.26,10.71,3.94,31.02,1.86,0.80%,MAIN,355,8463,15,18415,
35493,"Jacoby Brissett",,QB,ARI,ATL,147554,,35.62,22.95,245.67,1.62,0.5,4.76,14.52,0.16,0,0,0,0,18.75,18.7,18.7,260.19,1.78,260.19,1.78,14.52,0.16,0,11.74,27.68,8.28,57.08,9.87,13.18%,MAIN,607047,26395,16,35493,
2861839,"Michael Carter",,RB,ARI,ATL,147554,,0,0,0,0,0,12.65,47.13,0.41,4.33,3.12,24.16,0.11,13.41,13.35,11.79,71.29,0.52,47.13,0.41,71.29,0.52,0,7.34,22.23,6.78,40.92,7.1,10.62%,MAIN,976329,162975,17,2861839,
4715680,"Emari Demercado",,RB,ARI,ATL,147554,,0,0,0,0,0,6.4,24.94,0.21,2.6,1.81,16.17,0.07,7.58,7.55,6.64,41.11,0.28,24.94,0.21,41.11,0.28,0,3.3,15.65,1.42,20,1.06,0.39%,MAIN,1116817,92713,18,4715680,
8268732,"Corey Kiner",,RB,ARI,ATL,147554,,0,0,0,0,0,0.11,0.31,0,0.14,0.09,0.79,0,0.2,0.2,0.15,1.1,0,0.31,0,1.1,0,0,0,0.4,,,0,0.00%,MAIN,1286050,169851,19,8268732,
328944,"Trent Sherfield",,WR,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0.95,0.55,6.3,0.05,1.48,1.48,1.2,6.3,0.05,0,0,6.3,0.05,0,0,2.96,0.02,2.86,0.3,0.10%,MAIN,835861,40523,20,328944,
