,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Tobias Harris,DET,POR,F,27.00000,12.43035,5.47719,1.65448,1.05949,0.60725,1.14147,4.59176,9.74369,47.1,1.29486,3.62880,35.7,1.95196,2.27261,85.9,1.10931,4.36788
Isaiah Hartenstein,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Sam Hauser,BOS,IND,F,25.00000,10.09713,4.96648,1.55529,0.73896,0.41392,0.57700,3.56872,7.76697,45.9,2.10406,5.32851,39.5,0.85564,1.08189,79.1,1.03549,3.93099
Jordan Hawkins,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Scoot Henderson,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Taylor Hendricks,UTA,DEN,F,17.00000,6.73701,3.67815,0.97403,0.61738,0.64918,0.52350,2.42730,5.33820,45.5,0.94656,2.64065,35.8,0.93585,1.14218,81.9,0.92471,2.75344
Buddy Hield,GSW,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jrue Holiday,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ronald Holland,DET,POR,F,20.00000,8.73375,3.63218,1.59830,1.00458,0.57169,1.37481,3.34977,7.56275,44.3,0.72230,2.55210,28.3,1.31190,1.80882,72.5,0.66807,2.96410
DaRon Holmes,DEN,UTA,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Chet Holmgren,OKC,MEM,C,28.00000,14.94742,10.02806,2.23596,0.69573,1.82309,1.92543,5.29558,10.23945,51.7,1.29897,3.52659,36.8,3.05729,3.97093,77.0,2.99522,7.03284
Al Horford,GSW,ORL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jett Howard,ORL,GSW,F,13.00000,5.10312,1.76901,0.63469,0.36032,0.21866,0.66361,1.75360,4.35592,40.3,0.84265,2.56780,32.8,0.75327,0.90154,83.6,0.38896,1.38005
Jay Huff,IND,BOS,C,23.00000,9.86203,5.49034,1.07664,0.55188,1.29918,0.93713,3.43479,7.33634,46.8,1.75168,4.52648,38.7,1.24077,1.55347,79.9,1.36583,4.12452
De'Andre Hunter,CLE,CHA,F,27.00000,14.31657,4.56252,1.55122,0.88521,0.43232,1.01111,4.87707,10.68497,45.6,1.95168,5.20901,37.5,2.61075,3.22143,81.0,0.80927,3.75325
Kyrie Irving,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jonathan Isaac,ORL,GSW,F,11.00000,4.08557,3.37969,0.47763,0.56102,0.64654,0.38400,1.43207,3.20354,44.7,0.47905,1.48550,32.2,0.74238,0.96642,76.8,0.85668,2.52302
